Timestamp,d_laser_x,d_laser_z,laser_x,laser_z,X,Y,Z,Yaw,Roll,Pitch
1741951127.334,4.126,2.165,0.126,-0.504,1.4472,-2.0845,5.9624,-155.2279,179.3455,-0.8989
1741951127.413,4.126,2.165,0.126,-0.504,1.4472,-2.0845,5.9624,-155.2331,179.3316,-0.9049
1741951127.493,4.126,2.163,0.126,-0.502,1.4472,-2.0845,5.9624,-155.2422,179.3074,-0.9061
1741951127.573,4.128,2.163,0.124,-0.502,1.4472,-2.0845,5.9624,-155.2317,179.3233,-0.9244
1741951127.652,4.127,2.164,0.125,-0.503,1.4472,-2.0845,5.9624,-155.2185,179.3168,-0.9196
1741951127.732,4.127,2.164,0.125,-0.503,1.4472,-2.0845,5.9624,-155.2251,179.3386,-0.9009
1741951127.812,4.124,2.164,0.128,-0.503,1.4472,-2.0845,5.9624,-155.2298,179.3583,-0.8982
1741951127.891,4.125,2.164,0.127,-0.503,1.4472,-2.0845,5.9624,-155.23,179.3516,-0.8955
1741951127.971,4.126,2.164,0.126,-0.503,1.4472,-2.0845,5.9624,-155.2321,179.3527,-0.9072
1741951128.051,4.125,2.164,0.127,-0.503,1.4472,-2.0845,5.9624,-155.2432,179.3676,-0.9131
1741951128.13,4.125,2.164,0.127,-0.503,1.4472,-2.0845,5.9624,-155.2334,179.3396,-0.9059
1741951128.21,4.126,2.164,0.126,-0.503,1.4472,-2.0845,5.9624,-155.2231,179.3178,-0.9025
1741951128.409,4.128,2.165,0.124,-0.504,1.4472,-2.0845,5.9624,-155.2156,179.3292,-0.9047
1741951128.608,4.125,2.165,0.127,-0.504,1.4472,-2.0845,5.9624,-155.2257,179.3373,-0.9038
1741951128.807,4.128,2.163,0.124,-0.502,1.4472,-2.0845,5.9624,-155.2378,179.3443,-0.9058
1741951130.101,4.125,2.164,0.127,-0.503,1.4472,-2.0845,5.9624,-155.2326,179.3432,-0.9266
1741951130.181,4.125,2.163,0.127,-0.502,1.4472,-2.0845,5.9624,-155.2301,179.3421,-0.9303
1741951130.261,4.125,2.164,0.127,-0.503,1.4472,-2.0845,5.9624,-155.2325,179.3554,-0.9287
1741951130.34,4.125,2.164,0.127,-0.503,1.4472,-2.0845,5.9624,-155.2304,179.3509,-0.9215
1741951130.42,4.127,2.164,0.125,-0.503,1.4472,-2.0845,5.9624,-155.2298,179.3636,-0.917
1741951130.5,4.125,2.163,0.127,-0.502,1.4472,-2.0845,5.9624,-155.23,179.3705,-0.9171
1741951130.579,4.126,2.164,0.126,-0.503,1.4472,-2.0845,5.9624,-155.2296,179.3582,-0.9212
1741951130.659,4.126,2.163,0.126,-0.502,1.4472,-2.0845,5.9624,-155.2322,179.3646,-0.9165
1741951130.739,4.126,2.163,0.126,-0.502,1.4472,-2.0845,5.9624,-155.2379,179.3663,-0.9113
1741951130.818,4.126,2.163,0.126,-0.502,1.4472,-2.0845,5.9624,-155.2375,179.3685,-0.9142
1741951130.898,4.125,2.163,0.127,-0.502,1.4472,-2.0845,5.9624,-155.2351,179.361,-0.9196
1741951130.977,4.125,2.163,0.127,-0.502,1.4472,-2.0845,5.9624,-155.2258,179.3578,-0.9089
1741951131.057,4.126,2.163,0.126,-0.502,1.4472,-2.0845,5.9624,-155.2229,179.3431,-0.9181
1741951131.137,4.126,2.163,0.126,-0.502,1.4472,-2.0845,5.9624,-155.2267,179.3405,-0.9312
1741951131.216,4.126,2.164,0.126,-0.503,1.4472,-2.0845,5.9624,-155.2297,179.3452,-0.9332
1741951131.296,4.127,2.164,0.125,-0.503,1.4472,-2.0845,5.9624,-155.221,179.3578,-0.9037
1741951131.376,4.126,2.164,0.126,-0.503,1.4471,-2.0844,5.9623,-155.206,179.4289,-0.8
1741951131.455,4.128,2.163,0.124,-0.502,1.4468,-2.0833,5.9623,-155.1503,179.4092,-0.8195
1741951131.535,4.128,2.163,0.123,-0.502,1.445,-2.0793,5.9623,-155.0945,179.339,-0.8815
1741951131.615,4.125,2.161,0.126,-0.5,1.4416,-2.0725,5.962,-154.9515,179.28,-0.9168
1741951131.694,4.121,2.163,0.13,-0.502,1.4377,-2.0648,5.962,-154.8684,179.262,-0.9098
1741951131.774,4.11,2.162,0.141,-0.502,1.4338,-2.0573,5.9621,-154.7147,179.2555,-0.908
1741951131.854,4.1,2.161,0.151,-0.501,1.4299,-2.0495,5.9624,-154.6427,179.2639,-0.959
1741951131.933,4.1,2.161,0.151,-0.501,1.4274,-2.044,5.9621,-154.5629,179.2701,-0.9403
1741951132.013,4.089,2.162,0.161,-0.502,1.4253,-2.0388,5.9616,-154.4897,179.324,-0.9561
1741951132.093,4.082,2.166,0.168,-0.506,1.4233,-2.0353,5.9619,-154.3018,179.2894,-0.8398
1741951132.172,4.073,2.164,0.177,-0.504,1.4207,-2.0301,5.9617,-154.215,179.2523,-1.0124
1741951132.252,4.068,2.161,0.182,-0.501,1.4174,-2.0234,5.9619,-154.1239,179.2882,-1.1408
1741951132.332,4.068,2.161,0.182,-0.501,1.4139,-2.0164,5.9619,-154.0444,179.2918,-1.0888
1741951132.411,4.058,2.165,0.192,-0.505,1.4108,-2.0102,5.9619,-154.0105,179.3592,-1.0614
1741951132.491,4.049,2.164,0.201,-0.504,1.4075,-2.0033,5.962,-153.946,179.4154,-1.0777
1741951132.57,4.041,2.165,0.209,-0.505,1.4045,-1.997,5.962,-153.85,179.5082,-1.0839
1741951132.65,4.03,2.155,0.22,-0.495,1.401,-1.9906,5.9619,-153.8852,179.4346,-1.0389
1741951132.73,4.03,2.155,0.22,-0.495,1.3979,-1.9845,5.9616,-153.8479,179.4288,-0.9926
1741951132.809,4.023,2.165,0.227,-0.505,1.3947,-1.9785,5.9613,-153.7927,179.4276,-0.9981
1741951132.889,4.013,2.164,0.237,-0.504,1.3915,-1.9728,5.9611,-153.7078,179.3668,-1.0379
1741951132.969,4.005,2.166,0.245,-0.506,1.3883,-1.9664,5.961,-153.5603,179.331,-1.0698
1741951133.048,3.994,2.165,0.256,-0.505,1.3855,-1.9608,5.9609,-153.418,179.3088,-1.0509
1741951133.128,3.994,2.165,0.256,-0.505,1.3825,-1.955,5.9607,-153.2626,179.2548,-1.0833
1741951133.208,3.989,2.165,0.261,-0.505,1.3792,-1.9491,5.9606,-153.1455,179.2285,-1.1497
1741951133.287,3.978,2.165,0.272,-0.505,1.3763,-1.9434,5.9606,-153.1146,179.2038,-1.1517
1741951133.367,3.972,2.167,0.278,-0.507,1.3728,-1.9372,5.9607,-153.0052,179.179,-1.1411
1741951133.447,3.962,2.166,0.288,-0.506,1.3697,-1.9313,5.9607,-152.8761,179.1281,-1.1771
1741951133.526,3.962,2.166,0.288,-0.506,1.3666,-1.9255,5.9609,-152.7372,179.1725,-1.147
1741951133.606,3.956,2.167,0.295,-0.507,1.3645,-1.9219,5.9606,-152.6745,179.3966,-1.062
1741951133.686,3.948,2.166,0.303,-0.506,1.3635,-1.9157,5.9574,-152.6332,179.5164,-1.0629
1741951133.765,3.942,2.167,0.309,-0.507,1.3593,-1.9093,5.9584,-152.4961,179.3197,-1.1168
1741951133.845,3.942,2.167,0.309,-0.507,1.3554,-1.9034,5.9598,-152.3946,179.2659,-1.1107
1741951133.925,3.933,2.166,0.318,-0.505,1.3516,-1.8974,5.9603,-152.3478,179.2422,-1.0156
1741951134.004,3.925,2.168,0.326,-0.507,1.3492,-1.8933,5.9603,-152.3112,179.2558,-0.9504
1741951134.084,3.917,2.169,0.334,-0.508,1.3468,-1.8888,5.9602,-152.2125,179.2853,-0.9501
1741951134.163,3.912,2.167,0.339,-0.506,1.3449,-1.8852,5.96,-152.1602,179.3163,-0.8814
1741951134.243,3.912,2.167,0.339,-0.506,1.3423,-1.8805,5.9597,-152.0763,179.2854,-0.9299
1741951134.323,3.905,2.167,0.347,-0.506,1.3391,-1.8746,5.9597,-151.964,179.2292,-0.9738
1741951134.402,3.899,2.166,0.353,-0.505,1.3354,-1.8681,5.9597,-151.8125,179.1778,-0.9848
1741951134.482,3.891,2.169,0.361,-0.508,1.3321,-1.8614,5.9597,-151.7263,179.1797,-0.975
1741951134.562,3.88,2.168,0.371,-0.507,1.3305,-1.8573,5.96,-152.0411,179.4356,-0.9411
1741951134.642,3.88,2.168,0.371,-0.507,1.3294,-1.8543,5.9601,-152.2186,179.5248,-1.0051
1741951134.721,3.875,2.167,0.376,-0.507,1.3283,-1.8511,5.96,-152.4123,179.7525,-0.9327
1741951134.801,3.868,2.167,0.382,-0.507,1.3251,-1.8457,5.9593,-152.7796,179.5299,-1.1381
1741951134.88,3.864,2.166,0.386,-0.506,1.3198,-1.8373,5.9599,-153.1812,178.7474,-1.6254
1741951134.96,3.855,2.167,0.395,-0.507,1.3144,-1.8276,5.9599,-152.7493,178.7262,-1.6011
1741951135.199,3.832,2.172,0.419,-0.511,1.3036,-1.8074,5.9591,-152.2277,179.0919,-1.474
1741951135.278,3.821,2.173,0.43,-0.512,1.3013,-1.8024,5.9596,-152.0369,178.9861,-1.5312
1741951135.358,3.815,2.173,0.437,-0.512,1.2989,-1.7991,5.9594,-151.9035,179.0113,-1.2468
1741951135.438,3.815,2.173,0.437,-0.512,1.2974,-1.7963,5.9591,-151.9369,178.9169,-1.075
1741951135.517,3.813,2.173,0.437,-0.513,1.297,-1.7936,5.9587,-152.8577,179.1091,-1.0753
1741951135.597,3.802,2.173,0.448,-0.513,1.2944,-1.7863,5.9583,-153.7954,179.0606,-1.0861
1741951135.677,3.797,2.169,0.454,-0.508,1.2912,-1.7768,5.9584,-154.9874,179.107,-1.0877
1741951135.756,3.789,2.165,0.463,-0.504,1.2871,-1.7663,5.9585,-155.5211,179.1996,-1.2202
1741951135.916,3.775,2.166,0.478,-0.505,1.2803,-1.751,5.9582,-155.7239,179.0431,-1.5167
1741951135.995,3.761,2.165,0.491,-0.504,1.2778,-1.7458,5.9583,-155.6649,179.014,-1.4825
1741951136.075,3.754,2.166,0.498,-0.505,1.2758,-1.7418,5.9582,-155.5453,178.9795,-1.3904
1741951136.155,3.75,2.164,0.502,-0.503,1.2735,-1.7373,5.9584,-155.4594,178.9534,-1.336
1741951136.234,3.75,2.164,0.502,-0.503,1.2711,-1.7308,5.9586,-155.3332,179.2033,-1.1722
1741951136.314,3.74,2.164,0.511,-0.503,1.2665,-1.722,5.9615,-155.1999,179.3591,-1.0273
1741951136.394,3.734,2.167,0.517,-0.506,1.2631,-1.7152,5.9617,-155.1518,179.4973,-0.8264
1741951136.473,3.721,2.165,0.53,-0.504,1.2609,-1.7111,5.959,-155.0887,179.5572,-0.5836
1741951136.553,3.712,2.163,0.539,-0.502,1.2584,-1.7058,5.9573,-155.0351,179.5195,-0.595
1741951136.633,3.712,2.163,0.539,-0.502,1.256,-1.7001,5.9566,-154.9672,179.4343,-0.7501
1741951136.712,3.701,2.162,0.55,-0.501,1.2526,-1.6933,5.957,-154.9185,179.2469,-0.9346
1741951136.792,3.696,2.164,0.554,-0.504,1.2484,-1.6858,5.9581,-154.4721,178.2815,-2.2921
1741951136.871,3.685,2.162,0.565,-0.502,1.2449,-1.6793,5.9578,-154.2378,178.3952,-2.1377
1741951136.951,3.676,2.162,0.574,-0.502,1.2416,-1.673,5.9574,-154.2533,178.5809,-1.8989
1741951137.031,3.676,2.162,0.574,-0.502,1.2387,-1.6668,5.9576,-154.1181,178.738,-1.6454
1741951137.11,3.664,2.162,0.586,-0.502,1.2364,-1.662,5.9573,-154.0425,178.8923,-1.436
1741951137.19,3.66,2.162,0.59,-0.502,1.234,-1.6567,5.957,-153.9599,179.0235,-1.32
